dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/5sl7sh	7f5260c2-f762-11e1-a439-00145eb45e9a	Natural History Museum, Vienna - Herbarium W		6
10.15468/4ru3f6	4796b3ec-d572-4f3f-9344-1cd3aa20fc8f	KUZ Herbarium: collections of vascular plants	Sheremetova S, Khrustaleva I, Kuprijanov A, Sheremetov R, Nozhinkov A, Seregin A (2020): KUZ Herbarium: collections of vascular plants. v1.93. Kuzbass botanical garden. Dataset/Occurrence. https://depo.msu.ru/ipt/resource?r=kuzherbarium&v=1.93	17
10.15468/8fzv2j	956bc674-6022-4c52-833e-c5fb39dc837a	Löydös Open Finnish Observation Database		12
10.15468/w273c7	cfba58ad-772b-4993-b7bb-7c37bf3e1c11	Horti sicci by Siiri Kõljalg		1
10.15468/dkhtjv	9807df89-7446-4aab-8ec8-fd837085c1a1	Images and observations of mostly edible plants in Stephen Barstow’s Edible Garden in Norway, taken between 2005 and 2014		58
10.15468/sk26v2	a8e22479-28d2-4a8a-ae1c-2d40d80c1f9a	Western Carolina University Herbarium		7
10.15468/qwjw7w	d446193a-7bbd-4c76-b90a-2546fcafa85c	Herbarium Dresdense		4
10.15468/zsgiog	e42c4be9-dc6d-466b-8df2-60ac8c47fadd	University of Vermont, Pringle Herbarium		6
10.15468/x5ucvh	df582950-3b58-11dc-8c19-b8a03c50a862	Allan Herbarium (CHR)	Landcare Research (2014-)  Allan Herbarium (CHR) specimen data.	6
10.15468/g85t8z	cd096ec0-a8a0-4c65-92cc-48b00fb934ce	Plant Resources Center		2
10.15468/9uzqe3	b89a7f02-021d-4e7a-b19f-575d10578a6d	The Vascular Plants Collection of the University of Goettingen	Anonymous (2020). The Vascular Plants Collection of the University of Goettingen. [Dataset].  Version: 20201113. Data Publisher: Staatliche Naturwissenschaftliche Sammlungen Bayerns – SNSB IT Center, München. http://www.snsb.info/DatabaseClients/GOETvplantscoll/About.html.	1
10.5886/rtt57cc9	07fd0d79-4883-435f-bba1-58fef110cd13	University of British Columbia Herbarium (UBC) - Vascular Plant Collection	University of British Columbia Herbarium (UBC). http://dx.doi.org/10.5886/rtt57cc9. (consulted on [date])	5
